rulesno	rules	support	confidence	lift
7662	{Measurement2=Vegetation,Fire=1} => {Service=CoMp}	1.02856320006583e-05	1	100.02366255144
10963	{Time_Interval2=3-hourly,Flood=1} => {Service=CoMp}	1.54284480009874e-05	1	100.02366255144
11015	{Time_Interval2=3-hourly,Fire=1} => {Service=CoMp}	1.54284480009874e-05	1	100.02366255144
18758	{Measurement2=Soil Moisture,Fire=1} => {Service=CoMp}	1.54284480009874e-05	1	100.02366255144
22100	{Instrument2=TMI,Fire=1} => {Service=CoMp}	5.14281600032914e-06	1	100.02366255144
25907	{Instrument2=Model,Fire=1} => {Service=ArAvSc}	1.02856320006583e-05	0.181818181818182	49.0344218887908
26042	{Instrument2=Model,Fire=1} => {Service=CoMp}	4.11425280026331e-05	0.727272727272727	72.744481855593
29201	{Spatial_Resolution2=0.5 deg.,Fire=1} => {Service=CoMp}	5.14281600032914e-06	1	100.02366255144
31358	{Spatial_Resolution2=1.25 deg.,Flood=1} => {Service=CoMp}	1.02856320006583e-05	1	100.02366255144
31516	{Spatial_Resolution2=1.25 deg.,Fire=1} => {Service=CoMp}	1.02856320006583e-05	1	100.02366255144
34878	{Measurement2=Wind,Flood=1} => {Service=CoMp}	5.14281600032914e-06	1	100.02366255144
35015	{Measurement2=Wind,Fire=1} => {Service=CoMp}	5.14281600032914e-06	1	100.02366255144
38538	{Spatial_Resolution2=0.125 deg.,Fire=1} => {Service=ArAvSc}	1.02856320006583e-05	0.181818181818182	49.0344218887908
38756	{Spatial_Resolution2=0.125 deg.,Fire=1} => {Service=CoMp}	4.11425280026331e-05	0.727272727272727	72.744481855593
39397	{Instrument2=Multi-instruments,Flood=1} => {Service=CoMp}	1.02856320006583e-05	1	100.02366255144
39651	{Instrument2=Multi-instruments,Fire=1} => {Service=CoMp}	1.54284480009874e-05	1	100.02366255144
45379	{Instrument2=MERRA Data Model,Flood=1} => {Service=CoMp}	1.02856320006583e-05	1	100.02366255144
45599	{Instrument2=MERRA Data Model,Fire=1} => {Service=CoMp}	1.02856320006583e-05	1	100.02366255144
46802	{Measurement2=Precipitation,Flood=1} => {Service=CoMp}	1.02856320006583e-05	1	100.02366255144
